Freq [GHz],"dB(S(1,1))"
1.029058116,-20.687252
1.031062124,-20.453469
1.033066132,-20.39073
1.03507014,-20.669085
1.037074148,-21.140963
1.039078156,-21.714983
1.041082164,-22.633774
1.043086172,-23.586457
1.04509018,-23.974432
1.047094188,-24.056429
1.049098196,-24.192614
1.051102204,-24.677893
1.053106212,-25.43743
1.05511022,-26.059777
1.057114228,-26.370709
1.059118236,-26.663859
1.061122244,-27.179348
1.063126253,-28.207169
1.065130261,-28.767266
1.067134269,-28.46682
1.069138277,-27.830837
1.071142285,-27.066279
1.073146293,-26.506169
1.075150301,-26.839752
1.077154309,-27.234122
1.079158317,-27.686669
1.081162325,-28.0933
1.083166333,-28.595471
1.085170341,-29.30411
1.087174349,-30.276343
1.089178357,-31.795452
1.091182365,-32.915278
1.093186373,-34.105673
1.095190381,-34.720965
1.097194389,-35.196253
1.099198397,-36.628012
1.101202405,-40.270704
1.103206413,-41.270956
1.105210421,-36.708472
1.107214429,-33.078074
1.109218437,-30.721092
1.111222445,-28.78681
1.113226453,-27.19463
1.115230461,-26.073757
1.117234469,-25.388174
1.119238477,-25.0805
1.121242485,-24.631869
1.123246493,-23.707369
1.125250501,-22.747523
1.127254509,-21.84051
1.129258517,-20.843123
1.131262525,-19.863775
1.133266533,-19.048994
1.135270541,-18.435425
1.137274549,-17.905009
1.139278557,-17.538071
1.141282565,-17.323466
1.143286573,-17.308192
1.145290581,-17.497818
1.147294589,-17.534563
1.149298597,-17.298878
1.151302605,-16.986218
1.153306613,-16.631504
1.155310621,-16.259079
1.157314629,-15.900623
1.159318637,-15.637192
1.161322645,-15.395199
1.163326653,-15.223506
1.165330661,-15.112107
1.167334669,-15.025707
1.169338677,-14.898558
1.171342685,-14.701325
1.173346693,-14.43836
1.175350701,-14.182545
1.177354709,-13.90381
1.179358717,-13.660979
1.181362725,-13.380449
1.183366733,-13.133717
1.185370741,-12.969753
1.187374749,-12.822548
1.189378758,-12.541717
1.191382766,-12.282821
1.193386774,-12.053615
1.195390782,-11.769995
1.19739479,-11.494374
1.199398798,-11.277237
1.201402806,-11.05778
1.203406814,-10.786054
1.205410822,-10.545329
1.20741483,-10.289939
1.209418838,-10.0591948
1.211422846,-9.8685658
1.213426854,-9.6585696
1.215430862,-9.4599745
1.21743487,-9.3052323
1.219438878,-9.1106989
1.221442886,-8.9806197
1.223446894,-8.7921564
1.225450902,-8.6764614
1.22745491,-8.571522
1.229458918,-8.4781048
1.231462926,-8.3963225
1.233466934,-8.3070958
1.235470942,-8.1935522
1.23747495,-8.0936859
1.239478958,-7.999491
1.241482966,-7.9262178
1.243486974,-7.8512661
1.245490982,-7.7458751
1.24749499,-7.5949161
1.249498998,-7.5001633
1.251503006,-7.3585346
1.253507014,-7.2191994
1.255511022,-7.0836375
1.25751503,-6.904093
1.259519038,-6.7441013
1.261523046,-6.6208761
1.263527054,-6.4815223
1.265531062,-6.4074242
1.26753507,-6.3083017
1.269539078,-6.2285383
1.271543086,-6.1213772
1.273547094,-6.0522001
1.275551102,-5.9750569
1.27755511,-5.9161508
1.279559118,-5.8904226
1.281563126,-5.8274109
1.283567134,-5.7225854
1.285571142,-5.6467369
1.28757515,-5.5824473
1.289579158,-5.502876
1.291583166,-5.4468405
1.293587174,-5.3713691
1.295591182,-5.3128555
1.29759519,-5.2456024
1.299599198,-5.1800821
1.301603206,-5.1082756
1.303607214,-5.0378592
1.305611222,-4.9502442
1.30761523,-4.9061429
1.309619238,-4.8418858
1.311623246,-4.7863781
1.313627255,-4.7299182
1.315631263,-4.6717279
1.317635271,-4.5851543
1.319639279,-4.4990575
1.321643287,-4.4384196
1.323647295,-4.3348935
1.325651303,-4.2814085
1.327655311,-4.2196522
1.329659319,-4.1764913
1.331663327,-4.120662
1.333667335,-4.1125331
1.335671343,-4.039458
1.337675351,-3.9760005
1.339679359,-3.9199395
1.341683367,-3.8381672
1.343687375,-3.7493694
1.345691383,-3.6576917
1.347695391,-3.5783369
1.349699399,-3.5345955
1.351703407,-3.50858
1.353707415,-3.4699309
1.355711423,-3.4748876
1.357715431,-3.4701438
1.359719439,-3.4824457
1.361723447,-3.4974232
1.363727455,-3.5287294
1.365731463,-3.5627949
1.367735471,-3.5923011
1.369739479,-3.6215088
1.371743487,-3.6259603
1.373747495,-3.6415801
1.375751503,-3.6555631
1.377755511,-3.6529291
1.379759519,-3.6187863
1.381763527,-3.5714161
1.383767535,-3.5138731
1.385771543,-3.4427297
1.387775551,-3.3418155
1.389779559,-3.2200737
1.391783567,-3.0941551
1.393787575,-2.9613511
1.395791583,-2.8197315
1.397795591,-2.714344
1.399799599,-2.582139
1.401803607,-2.4908183
1.403807615,-2.4086213
1.405811623,-2.320462
1.407815631,-2.295069
1.409819639,-2.27128
1.411823647,-2.304091
1.413827655,-2.3312051
1.415831663,-2.3794193
1.417835671,-2.4187608
1.419839679,-2.5231447
1.421843687,-2.6104245
1.423847695,-2.6802733
1.425851703,-2.737894
1.427855711,-2.8394632
1.429859719,-2.8692894
1.431863727,-2.8670344
1.433867735,-2.8986392
1.435871743,-2.9159622
1.437875752,-2.8656855
1.43987976,-2.806081
1.441883768,-2.7852042
1.443887776,-2.6927595
1.445891784,-2.6069922
1.447895792,-2.4851377
1.4498998,-2.3901546
1.451903808,-2.2658698
1.453907816,-2.2075598
1.455911824,-2.0863907
1.457915832,-2.0037701
1.45991984,-1.982566
1.461923848,-1.9608941
1.463927856,-1.9533207
1.465931864,-1.9688185
1.467935872,-1.9810753
1.46993988,-2.0535234
1.471943888,-2.0729736
1.473947896,-2.129125
1.475951904,-2.1657567
1.477955912,-2.2255274
1.47995992,-2.2721393
1.481963928,-2.28901
1.483967936,-2.317167
1.485971944,-2.3037307
1.487975952,-2.2948291
1.48997996,-2.2896097
1.491983968,-2.2640624
1.493987976,-2.2072699
1.495991984,-2.128355
1.497995992,-2.0593746
1.5,-1.955023
